year,who_region,who_region_name,pathogen,infection_type,antibiotic_class,key_antibiotic,resistance_pct,resistance_pct_lower_ci,resistance_pct_upper_ci,trend_2018_2023_annual_pct_change,trend_significant,countries_reporting,data_quality_flag,primary_source,source_doi,pred_2024,pred_2025,pred_2026
2023,GLO,Global,Escherichia coli,Bloodstream infection (BSI),3rd-generation cephalosporins,Ceftriaxone/Cefotaxime,44.8,,,1.3,True,104,High – WHO GLASS 2025 adjusted global estimate,WHO Global Antibiotic Resistance Surveillance Report 2025,WHO/2025/GLASS,46.099999999999994,47.39999999999999,48.69999999999999
2023,GLO,Global,Klebsiella pneumoniae,Bloodstream infection (BSI),3rd-generation cephalosporins,Cefotaxime,55.2,48.5,61.7,,,104,High – WHO GLASS 2025 adjusted global estimate,WHO Global Antibiotic Resistance Surveillance Report 2025,WHO/2025/GLASS,55.2,55.2,55.2
2023,GLO,Global,Acinetobacter spp.,Bloodstream infection (BSI),Carbapenems,Imipenem,54.3,,,5.3,True,104,High – WHO GLASS 2025 adjusted global estimate,WHO Global Antibiotic Resistance Surveillance Report 2025,WHO/2025/GLASS,59.599999999999994,64.89999999999999,70.19999999999999
2023,GLO,Global,Staphylococcus aureus (MRSA),Bloodstream infection (BSI),Methicillin/Beta-lactams,Oxacillin/Cefoxitin,27.0,,,-2.5,True,104,High – WHO GLASS 2025 adjusted global estimate (~27%),WHO Global Antibiotic Resistance Surveillance Report 2025,WHO/2025/GLASS,24.5,22.0,19.5
2023,GLO,Global,Escherichia coli,Bloodstream infection (BSI),Carbapenems,Imipenem,3.5,,,,,104,High – WHO GLASS 2025,WHO Global Antibiotic Resistance Surveillance Report 2025,WHO/2025/GLASS,3.5,3.5,3.5
2023,GLO,Global,Klebsiella pneumoniae,Bloodstream infection (BSI),Carbapenems,Imipenem,15.0,,,,,104,High – WHO GLASS 2025,WHO Global Antibiotic Resistance Surveillance Report 2025,WHO/2025/GLASS,15.0,15.0,15.0
2023,GLO,Global,Escherichia coli,Urinary tract infection (UTI),3rd-generation cephalosporins,Ceftriaxone,33.0,,,,,104,High – 1 in 3 UTIs resistant (WHO GLASS 2025),WHO Global Antibiotic Resistance Surveillance Report 2025,WHO/2025/GLASS,33.0,33.0,33.0
2023,GLO,Global,Escherichia coli,Urinary tract infection (UTI),Fluoroquinolones,Ciprofloxacin,40.0,,,,,104,High – >40% global (WHO GLASS 2025 summary),WHO Global Antibiotic Resistance Surveillance Report 2025,WHO/2025/GLASS,40.0,40.0,40.0
2023,GLO,Global,Salmonella spp. (non-typhoidal),Gastrointestinal infection,Fluoroquinolones,Ciprofloxacin,20.0,,,,,104,Medium – GLASS 2025 gastrointestinal estimates,WHO Global Antibiotic Resistance Surveillance Report 2025,WHO/2025/GLASS,20.0,20.0,20.0
2023,GLO,Global,Shigella spp.,Gastrointestinal infection,Fluoroquinolones,Ciprofloxacin,25.0,,,,,104,Medium – GLASS 2025,WHO Global Antibiotic Resistance Surveillance Report 2025,WHO/2025/GLASS,25.0,25.0,25.0
2023,GLO,Global,Neisseria gonorrhoeae,Urogenital gonorrhoea,Extended-spectrum cephalosporins,Ceftriaxone,0.3,,,-3.2,False,104,High – GLASS 2025; low resistance <1% globally,WHO Global Antibiotic Resistance Surveillance Report 2025,WHO/2025/GLASS,-2.9000000000000004,-6.1000000000000005,-9.3
2023,GLO,Global,Neisseria gonorrhoeae,Urogenital gonorrhoea,Fluoroquinolones,Ciprofloxacin,75.0,,,,,104,High – GLASS 2025; 75% global resistance to ciprofloxacin,WHO Global Antibiotic Resistance Surveillance Report 2025,WHO/2025/GLASS,75.0,75.0,75.0
2023,GLO,Global,Neisseria gonorrhoeae,Urogenital gonorrhoea,Macrolides,Azithromycin,12.6,,,,,104,High – GLASS 2025,WHO Global Antibiotic Resistance Surveillance Report 2025,WHO/2025/GLASS,12.6,12.6,12.6
2023,GLO,Global,Streptococcus pneumoniae,Lower respiratory / pneumonia,Penicillins,Penicillin G,20.0,,,-11.0,False,104,Medium – GLASS 2025 global estimate,WHO Global Antibiotic Resistance Surveillance Report 2025,WHO/2025/GLASS,9.0,-2.0,-13.0
2023,AFR,Africa,Escherichia coli,Bloodstream infection (BSI),3rd-generation cephalosporins,Ceftriaxone,70.0,,,,,57,High – Africa >70% (WHO GLASS 2025 + CIDRAP summary),WHO Global Antibiotic Resistance Surveillance Report 2025,WHO/2025/GLASS,70.0,70.0,70.0
2023,AFR,Africa,Klebsiella pneumoniae,Bloodstream infection (BSI),3rd-generation cephalosporins,Cefotaxime,70.0,,,,,57,High – Africa >70% both pathogens (WHO GLASS 2025),WHO Global Antibiotic Resistance Surveillance Report 2025,WHO/2025/GLASS,70.0,70.0,70.0
2023,AFR,Africa,Acinetobacter spp.,Bloodstream infection (BSI),Carbapenems,Imipenem,65.0,,,,,57,Medium – extrapolated from GRAM Africa 2019 + GLASS 2025 trend,GRAM Africa Lancet 2024; WHO GLASS 2025,10.1016/S0140-6736(24)01867-1,65.0,65.0,65.0
2023,AFR,Africa,Staphylococcus aureus (MRSA),Bloodstream infection (BSI),Methicillin/Beta-lactams,Oxacillin,40.0,,,,,57,Medium – GLASS 2025; MRSA >40% Middle East/Africa stated,WHO Global Antibiotic Resistance Surveillance Report 2025,WHO/2025/GLASS,40.0,40.0,40.0
2023,AFR,Africa,All pathogens (median),All infection types,All antibiotics,Median across combinations,20.0,,,,,57,High – 1 in 5 infections resistant in Africa (WHO GLASS 2025),WHO Global Antibiotic Resistance Surveillance Report 2025,WHO/2025/GLASS,20.0,20.0,20.0
2023,EMR,Eastern Mediterranean,All pathogens (median),All infection types,All antibiotics,Median across combinations,30.0,,,,,76,High – 1 in 3 (30%) EMR; tied highest with SEAR (AJMC/GLASS 2025),WHO Global Antibiotic Resistance Surveillance Report 2025,WHO/2025/GLASS,30.0,30.0,30.0
2023,EMR,Eastern Mediterranean,Acinetobacter spp.,Bloodstream infection (BSI),Carbapenems,Imipenem,85.0,,,,,76,Medium – Iran/Egypt >85% cited in pharmacally.com GLASS 2025 summary,WHO Global Antibiotic Resistance Surveillance Report 2025,WHO/2025/GLASS,85.0,85.0,85.0
